"Accounts","Customer reference","Shipment number","Status","Delivery due date","ETA","Number of parcels","Weight","Product","Service","Dispatch date","Business/Recipient name","Contact number","Postal Code"
"F199630","DISPATCH 22-07","60120252694582","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P GLASGOW","01827 280880","G34 9DL"
"F199630","DISPATCH 22-07","60120252694661","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT LUTON","01827 280880","LU1 3JH"
"F199630","DISPATCH 22-07","60120252694670","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT NORWICH","01827 280880","NR5 0JS"
"F199630","DISPATCH 22-07","60120252695819","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT OXFORD","01827 280880","OX1 1TR"
"F199630","DISPATCH 22-07","60120252694691","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT CHARLTON","01827 280880","SE7 7FR"
"F199630","DISPATCH 22-07","60120252694697","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT SOLIHULL","01827 280880","B90 4RB"
"F199630","DISPATCH 22-07","60120252694619","Order received","23/07/2026","08:00 - 20:00","3","3","Parcels","Next day","22/07/2026","M&P NEXT ARNDALE","01827 280880","M4 3AJ"
"F199630","DISPATCH 22-07","60120252694702","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT WATFORD","01827 280880","WD17 2AU"
"F199630","DISPATCH 22-07","60120252694618","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P OUTLET","01827 280880","HD5 0RH"
"F199630","DISPATCH 22-07","60120252694644","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT HAYES","01827 280880","UB3 3EX"
"F199630","DISPATCH 22-07","60120252694596","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NOTTINGHAM","01827 280880","NG16 2RP"
"F199630","DISPATCH 22-07","60120252694594","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P LIVERPOOL SPEKE","01827 280880","L24 8QB"
"F199630","DISPATCH 22-07","60120252694690","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT SHREWSBURY","01827 280880","SY3 9NB"
"F199630","DISPATCH 22-07","60120252694614","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P THURROCK","01827 280880","RM20 1WN"
"F199630","DISPATCH 22-07","60120252694674","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT PLYMOUTH","01827 280880","PL1 1EA"
"F199630","DISPATCH 22-07","60120252694663","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT MAIDSTONE","01827 280880","ME14 3EN"
"F199630","DISPATCH 22-07","60120252694673","Order received","23/07/2026","08:00 - 20:00","3","3","Parcels","Next day","22/07/2026","M&P NEXT PETERBOROUGH","01827 280880","PE4 6ZR"
"F199630","DISPATCH 22-07","60120252694588","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P LEEDS","01827 280880","WF17 9DT"
"F199630","DISPATCH 22-07","60120252694562","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P CROYDON","01827 280880","CR0 4XU"
"F199630","DISPATCH 22-07","60120252695853","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT SHEFFIELD","01827 280880","S9 2YL"
"F199630","DISPATCH 22-07","60120252695792","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT CHELTENHAM","01827 280880","GL51 9RR"
"F199630","DISPATCH 22-07","60120252694712","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P M&S WARRINGTON","01827 280880","WA5 7WG"
"F199630","DISPATCH 22-07","60120252694569","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P EDINBURGH","01827 280880","EH15 3RH"
"F199630","DISPATCH 22-07","60120252694626","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT BEDFORD","01827 280880","MK42 7AZ"
"F199630","DISPATCH 22-07","60120252694648","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT HIGH WYCOMBE","01827 280880","HP11 1UA"
"F199630","DISPATCH 22-07","60120252695634","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P TRAFFORD","01827 280880","M17 8AA"
"F199630","DISPATCH 22-07","60120252694624","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT DUNDEE","01827 280880","DD2 3XN"
"F199630","DISPATCH 22-07","60120252695895","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT SWANSEA","01827 280880","SA1 7BP"
"F199630","DISPATCH 22-07","60120252694631","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT BRISTOL","01827 280880","BS34 5UL"
"F199630","DISPATCH 22-07","60120252694708","Order received","23/07/2026","08:00 - 20:00","3","3","Parcels","Next day","22/07/2026","M&P M&S CHESHIRE OAKS","01827 280880","CH65 9GZ"
"F199630","DISPATCH 22-07","60120252694666","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT MILTON KEYNES","01827 280880","MK13 8PU"
"F199630","DISPATCH 22-07","60120252694701","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT TAMWORTH","01827 280880","B78 3JD"
"F199630","DISPATCH 22-07","60120252694638","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT ENFIELD","01827 280880","EN1 1TH"
"F199630","DISPATCH 22-07","60120252694629","Order received","23/07/2026","08:00 - 20:00","3","3","Parcels","Next day","22/07/2026","M&P NEXT BRENT CROSS","01827 280880","NW2 1LS"
"F199630","DISPATCH 22-07","60120252694615","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P WHITE CITY","01827 280880","W12 7GF"
"F199630","DISPATCH 22-07","60120252694718","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P M&S YORK","01827 280880","YO32 9AE"
"F199630","DISPATCH 22-07","60120252694703","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P M&S BANBURY","01827 280880","OX16 3ER"
"F199630","DISPATCH 22-07","60120252694577","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P FARNBOROUGH","01827 280880","GU14 8BL"
"F199630","DISPATCH 22-07","60120252694580","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P GATESHEAD","01827 280880","NE11 0BD"
"F199630","DISPATCH 22-07","60120252694704","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P M&S CARDIFF","01827 280880","CF5 6YZ"
"F199630","DISPATCH 22-07","60120252694686","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT SHOREHAM","01827 280880","BN43 6TE"
"F199630","DISPATCH 22-07","60120252694613","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P SWINDON","01827 280880","SN5 8WA"
"F199630","DISPATCH 22-07","60120252694598","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P SOUTHAMPTON","01827 280880","SO15 1BA"
"F199630","DISPATCH 22-07","60120252694683","Order received","23/07/2026","08:00 - 20:00","2","3","Parcels","Next day","22/07/2026","M&P NEXT PRESTON","01827 280880","PR5 4AW"
