"Accounts","Customer reference","Shipment number","Status","Delivery due date","ETA","Number of parcels","Weight","Product","Service","Dispatch date","Business/Recipient name","Contact number","Postal Code"
"F090402","355835","60120250064143","In transit","02/07/2026","08:00 - 20:00","1","3","Bagit L","Next day","01/07/2026","MAMAS & PAPAS NEXT RETAIL LTD","","BH12 1DN"
"F090402","","60120249594330","Delivered","","","1","1","Parcels","Next day","29/06/2026","MAMAS & PAPAS","","RM20 1WN"
"F090402","","60120249124336","Delivered","","","1","1","Parcels","48 hours","24/06/2026","MAMAS & PAPAS","","BT1 4QG"
"F090402","","60120248762792","Delivered","","","1","1","Parcels","Next day","22/06/2026","MAMAS AND PAPAS ","","L24 8QB"
"F090402","354838","60120246527652","Exception","05/06/2026","08:00 - 20:00","1","3","Bagit L","Next day","04/06/2026","MAMAS AND PAPAS NEXT RETAIL LTD","","EX4 1AH"
"F090402","355371","60120248188675","Delivered","","","1","1","Bagit S","Next day","17/06/2026","MAMAS AND PAPAS","","E20 1EL"
"F090402","","60120246331377","Delivered","","","2","2","Parcels","48 hours","03/06/2026","MAMAS & PAPAS","","BT1 4QG"
"F090402","354838","60120246527766","Delivered","","","1","1","Bagit M","Next day","04/06/2026","MAMAS AND PAPAS NEXT RETAIL LTD","","EX4 1AH"
"F090402","","60120246526290","Delivered","","","1","2","Parcels","48 hours","04/06/2026","MAMAS & PAPAS","","BT1 4QG"
"F090402","","60120246526503","Delivered","","","1","3","Parcels","48 hours","04/06/2026","MAMAS & PAPAS","","BT1 4QG"
"F090402","354595","60120246369520","Delivered","","","1","2","Bagit L","Next day","03/06/2026","MAMAS & PAPAS","","EH15 3RH"
"F090402","354767","60120246346100","Delivered","","","1","3","Bagit L","Next day","03/06/2026","MAMAS & PAPAS NEXT RETAIL LTD","","BH12 1DN"
"F090402","354574","60120246369188","Delivered","","","1","3","Bagit L","Next day","03/06/2026","MAMAS AND PAPAS","","E20 1EL"
"F090402","SEAN","60120245604512","Delivered","","","1","4","Parcels","48 hours","28/05/2026","MAMAS & PAPAS","","BT1 4QG"
"F090402","354697","60120245360679","Delivered","","","1","1","Bagit S","Next day","27/05/2026","MAMAS & PAPAS NEXT RETAIL LTD","","BH12 1DN"
"F090402","","60120244961711","Delivered","","","7","4","Parcels","48 hours","22/05/2026","MAMAS & PAPAS MARKS & SPENCER PLC","","BT27 5UJ"
"F090402","","60120244961533","Delivered","","","4","5","Parcels","48 hours","22/05/2026","MAMAS & PAPAS /MARKS & SPENCER PLC","","BT27 5UJ"
"F090402","","60120244961440","Delivered","","","1","1","Parcels","Next day","22/05/2026","MAMAS AND PAPAS","","NW2 1LS"
"F090402","354433","60120244671833","Delivered","","","1","2","Bagit L","Next day","20/05/2026","MAMAS AND PAPAS NEXT RETAIL LTD","","UB3 3EX"
"F090402","M&P","60120244466560","Delivered","","","1","4","Parcels","48 hours","19/05/2026","MAMAS AND PAPAS MARKS & SPENCER PLC","","BT27 5UJ"
"F090402","M&P","60120244466158","Delivered","","","1","4","Parcels","48 hours","19/05/2026","MAMAS & PAPAS","","BT1 4QG"
